code,code_nm,market,risk_prob,risk_grade,std_date
A155660,DSR,KOSPI,0.09699040568006104,6,2022-09-09
A004000,롯데정밀화학,KOSPI,0.09675354810640711,6,2022-09-09
A005420,코스모화학,KOSPI,0.0939529676789654,6,2022-09-09
A004450,삼화왕관,KOSPI,0.09375644333193832,6,2022-09-09
A005810,풍산홀딩스,KOSPI,0.09358483911413502,6,2022-09-09
A004170,신세계,KOSPI,0.09206396287899617,6,2022-09-09
A024110,기업은행,KOSPI,0.09200459677766479,6,2022-09-09
A023350,한국종합기술,KOSPI,0.09181512121911796,6,2022-09-09
A241560,두산밥캣,KOSPI,0.09176512599342092,6,2022-09-09
A000640,동아쏘시오홀딩스,KOSPI,0.09144637727227588,6,2022-09-09
A001250,GS글로벌,KOSPI,0.09025589184084419,6,2022-09-09
A105840,우진,KOSPI,0.0901913649484566,6,2022-09-09
A092220,KEC,KOSPI,0.08780610256842256,6,2022-09-09
A000720,현대건설,KOSPI,0.08634283489323866,6,2022-09-09
A006740,영풍제지,KOSPI,0.08598556073513204,6,2022-09-09
A010100,한국프랜지,KOSPI,0.08595515115025752,6,2022-09-09
A058860,KTis,KOSPI,0.08552806704483339,6,2022-09-09
A017900,광전자,KOSPI,0.08377051146106826,6,2022-09-09
A008500,일정실업,KOSPI,0.0824398914776022,6,2022-09-09
A044380,주연테크,KOSPI,0.08206099389492005,6,2022-09-09
A001440,대한전선,KOSPI,0.0818655421377149,6,2022-09-09
A001790,대한제당,KOSPI,0.08137917155770556,6,2022-09-09
A272450,진에어,KOSPI,0.08108566394537857,6,2022-09-09
A010040,한국내화,KOSPI,0.08080130733534834,6,2022-09-09
A002900,TYM,KOSPI,0.08037156942793584,6,2022-09-09
A000910,유니온,KOSPI,0.08031752554210625,6,2022-09-09
A004100,태양금속,KOSPI,0.08001648574696629,6,2022-09-09
A011230,삼화전자,KOSPI,0.07953451450115415,6,2022-09-09
A267260,현대일렉트릭,KOSPI,0.07947594422658767,6,2022-09-09
A005360,모나미,KOSPI,0.07892372494851026,5,2022-09-09
A014580,태경비케이,KOSPI,0.07890568637964679,5,2022-09-09
A010690,화신,KOSPI,0.07848694166015736,5,2022-09-09
A123700,SJM,KOSPI,0.07813721398495543,5,2022-09-09
A133820,화인베스틸,KOSPI,0.07674017025122884,5,2022-09-09
A006120,SK디스커버리,KOSPI,0.07423127222035307,5,2022-09-09
A000100,유한양행,KOSPI,0.07383818872862466,5,2022-09-09
A032640,LG유플러스,KOSPI,0.07348044141979382,5,2022-09-09
A000490,대동,KOSPI,0.07333251175418919,5,2022-09-09
A004360,세방,KOSPI,0.0726899681414389,5,2022-09-09
A093240,형지엘리트,KOSPI,0.07131184452445492,5,2022-09-09
A128820,대성산업,KOSPI,0.07109824188663577,5,2022-09-09
A134380,미원화학,KOSPI,0.07012757038722733,5,2022-09-09
A005110,한창,KOSPI,0.06990945975444271,5,2022-09-09
A086280,현대글로비스,KOSPI,0.06942534090055734,5,2022-09-09
A049770,동원F&B,KOSPI,0.06851273042418833,5,2022-09-09
A122900,아이마켓코리아,KOSPI,0.06844568257897275,5,2022-09-09
A011390,부산산업,KOSPI,0.06792408980893931,5,2022-09-09
A003080,성보화학,KOSPI,0.06781619859452322,5,2022-09-09
A023450,동남합성,KOSPI,0.06708716948805245,5,2022-09-09
A111110,호전실업,KOSPI,0.06697138826363917,5,2022-09-09
A007590,동방아그로,KOSPI,0.0669003278547571,5,2022-09-09
A383220,F&F,KOSPI,0.06654621779021745,5,2022-09-09
A027970,세하,KOSPI,0.06621281399370581,5,2022-09-09
A026960,동서,KOSPI,0.06416591702932993,5,2022-09-09
A051910,LG화학,KOSPI,0.06338895995969336,5,2022-09-09
A013520,화승코퍼레이션,KOSPI,0.06328378857324915,5,2022-09-09
A003960,사조대림,KOSPI,0.06321263342475059,5,2022-09-09
A012280,영화금속,KOSPI,0.06272207206302116,5,2022-09-09
A010660,화천기계,KOSPI,0.06204244178817773,5,2022-09-09
A009970,영원무역홀딩스,KOSPI,0.06164220736086267,5,2022-09-09
A004910,조광페인트,KOSPI,0.06078390651838015,5,2022-09-09
A008700,아남전자,KOSPI,0.06020415428170655,5,2022-09-09
A005300,롯데칠성,KOSPI,0.059399772359846725,5,2022-09-09
A039570,HDC랩스,KOSPI,0.058994032350035495,5,2022-09-09
A011760,현대코퍼레이션,KOSPI,0.05883420541446515,5,2022-09-09
A053690,한미글로벌,KOSPI,0.058734432751154135,5,2022-09-09
A069460,대호에이엘,KOSPI,0.05820888140291392,5,2022-09-09
A272210,한화시스템,KOSPI,0.057878615441774785,5,2022-09-09
A007460,에이프로젠,KOSPI,0.057820241022741616,5,2022-09-09
A248070,솔루엠,KOSPI,0.05753625594819915,5,2022-09-09
A034590,인천도시가스,KOSPI,0.0574401490017612,5,2022-09-09
A281820,케이씨텍,KOSPI,0.05662517470907126,5,2022-09-09
A306200,세아제강,KOSPI,0.05660546941969611,5,2022-09-09
A092440,기신정기,KOSPI,0.05617729291148451,5,2022-09-09
A267270,현대건설기계,KOSPI,0.055436413968564205,5,2022-09-09
A285130,SK케미칼,KOSPI,0.05504568854070275,5,2022-09-09
A011930,신성이엔지,KOSPI,0.054855832282054644,5,2022-09-09
A008350,남선알미늄,KOSPI,0.05395195903764225,5,2022-09-09
A005090,SGC에너지,KOSPI,0.05352563013893471,5,2022-09-09
A014830,유니드,KOSPI,0.053069195850678375,5,2022-09-09
A095720,웅진씽크빅,KOSPI,0.05295441088712178,5,2022-09-09
A017810,풀무원,KOSPI,0.05292352210761299,5,2022-09-09
A000500,가온전선,KOSPI,0.05271936177995183,5,2022-09-09
A019180,티에이치엔,KOSPI,0.05219684942997389,5,2022-09-09
A005850,에스엘,KOSPI,0.05111744855982273,5,2022-09-09
A078520,에이블씨엔씨,KOSPI,0.051063721938884865,5,2022-09-09
A077500,유니퀘스트,KOSPI,0.050910528836223254,5,2022-09-09
A042700,한미반도체,KOSPI,0.05035097236076512,5,2022-09-09
A033250,체시스,KOSPI,0.04988869403330607,5,2022-09-09
A002600,조흥,KOSPI,0.04881519346018924,5,2022-09-09
A002200,한국수출포장,KOSPI,0.04834944084799404,5,2022-09-09
A010420,한솔PNS,KOSPI,0.04829875903734846,5,2022-09-09
A175330,JB금융지주,KOSPI,0.0478111676160491,5,2022-09-09
A001570,금양,KOSPI,0.0475335358634705,5,2022-09-09
A024890,대원화성,KOSPI,0.04705593889186034,5,2022-09-09
A009270,신원,KOSPI,0.04673123979685356,5,2022-09-09
A012690,모나리자,KOSPI,0.04631554145798568,5,2022-09-09
A004540,깨끗한나라,KOSPI,0.04630356751358961,5,2022-09-09
A192650,드림텍,KOSPI,0.046280005230312116,5,2022-09-09
A004870,티웨이홀딩스,KOSPI,0.0458378933929071,5,2022-09-09
A001500,현대차증권,KOSPI,0.04475421530586323,5,2022-09-09
A009320,대우부품,KOSPI,0.04456232824368096,5,2022-09-09
A064350,현대로템,KOSPI,0.04449486936326064,5,2022-09-09
A010640,진양폴리,KOSPI,0.04442230327234643,5,2022-09-09
A069730,DSR제강,KOSPI,0.04375728662584253,5,2022-09-09
A017960,한국카본,KOSPI,0.0433955769027955,5,2022-09-09
A003030,세아제강지주,KOSPI,0.04251063917960661,5,2022-09-09
A128940,한미약품,KOSPI,0.041749138163634146,5,2022-09-09
A077970,STX엔진,KOSPI,0.04130113014043836,5,2022-09-09
A004560,현대비앤지스틸,KOSPI,0.04111517830625936,5,2022-09-09
A095570,AJ네트웍스,KOSPI,0.040745511394334175,5,2022-09-09
A014710,사조씨푸드,KOSPI,0.04069124123997763,5,2022-09-09
A004380,삼익THK,KOSPI,0.04066498034677583,5,2022-09-09
A066570,LG전자,KOSPI,0.04016845571507204,5,2022-09-09
A130660,한전산업,KOSPI,0.04007884455875576,5,2022-09-09
A011090,에넥스,KOSPI,0.04005075046887896,5,2022-09-09
A002960,한국쉘석유,KOSPI,0.038892870641650736,5,2022-09-09
A002720,국제약품,KOSPI,0.038636646116204966,5,2022-09-09
A004090,한국석유,KOSPI,0.0385105511090944,5,2022-09-09
A001080,만호제강,KOSPI,0.03823440253012985,5,2022-09-09
A000650,천일고속,KOSPI,0.03803601581978141,5,2022-09-09
A011420,갤럭시아에스엠,KOSPI,0.03795575369206168,5,2022-09-09
A007110,일신석재,KOSPI,0.037617556733463835,5,2022-09-09
A001020,페이퍼코리아,KOSPI,0.037234750856714245,5,2022-09-09
A001360,삼성제약,KOSPI,0.03702282705210935,4,2022-09-09
A005430,한국공항,KOSPI,0.036661065533890466,4,2022-09-09
A002790,아모레G,KOSPI,0.03650845851894228,4,2022-09-09
A025820,이구산업,KOSPI,0.03631953309070687,4,2022-09-09
A003610,방림,KOSPI,0.03599682165956247,4,2022-09-09
A011280,태림포장,KOSPI,0.03596215069785781,4,2022-09-09
A005820,원림,KOSPI,0.03590003433737199,4,2022-09-09
A000880,한화,KOSPI,0.035200612667717526,4,2022-09-09
A068400,SK렌터카,KOSPI,0.034569062942565947,4,2022-09-09
A009150,삼성전기,KOSPI,0.03444916369345028,4,2022-09-09
A035250,강원랜드,KOSPI,0.03444649354155417,4,2022-09-09
A060980,한라홀딩스,KOSPI,0.03389776244844708,4,2022-09-09
A089590,제주항공,KOSPI,0.03368702574312538,4,2022-09-09
A033530,세종공업,KOSPI,0.03363336876450126,4,2022-09-09
A001380,SG글로벌,KOSPI,0.03326621764748,4,2022-09-09
A005960,동부건설,KOSPI,0.03284842121414265,4,2022-09-09
A194370,제이에스코퍼레이션,KOSPI,0.03262858986067838,4,2022-09-09
A090080,평화산업,KOSPI,0.03227532740473025,4,2022-09-09
